timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709043631882,173,GET Single User,200,OK,Workload Config 1-35,text,true,,1182,96,12,12,https://reqres.in/api/users/2,173,0,80
1709043631652,422,POST Register,201,Created,Workload Config 1-27,text,true,,905,204,12,12,https://reqres.in/api/users,422,0,0
1709043631932,149,GET Single User,200,OK,Workload Config 1-36,text,true,,1182,96,11,11,https://reqres.in/api/users/2,149,0,75
1709043631674,449,POST Register,201,Created,Workload Config 1-28,text,true,,905,204,12,12,https://reqres.in/api/users,449,0,0
1709043631718,434,POST Register,201,Created,Workload Config 1-29,text,true,,905,204,12,12,https://reqres.in/api/users,434,0,0
1709043631982,175,GET Single User,200,OK,Workload Config 1-37,text,true,,1182,96,11,11,https://reqres.in/api/users/2,175,0,75
1709043632033,148,GET Single User,200,OK,Workload Config 1-38,text,true,,1182,96,11,11,https://reqres.in/api/users/2,148,0,76
1709043631807,418,POST Register,201,Created,Workload Config 1-30,text,true,,904,204,12,12,https://reqres.in/api/users,418,0,0
1709043632082,179,GET Single User,200,OK,Workload Config 1-39,text,true,,1182,96,12,12,https://reqres.in/api/users/2,179,0,78
1709043632132,145,GET Single User,200,OK,Workload Config 1-40,text,true,,1182,96,12,12,https://reqres.in/api/users/2,145,0,68
1709043631831,449,POST Register,201,Created,Workload Config 1-31,text,true,,905,204,12,12,https://reqres.in/api/users,449,0,0
1709043631881,416,POST Register,201,Created,Workload Config 1-32,text,true,,904,204,12,12,https://reqres.in/api/users,416,0,0
1709043632185,166,GET Single User,200,OK,Workload Config 1-41,text,true,,1182,96,12,12,https://reqres.in/api/users/2,166,0,69
1709043631947,422,POST Register,201,Created,Workload Config 1-33,text,true,,905,204,12,12,https://reqres.in/api/users,422,0,0
1709043632235,148,GET Single User,200,OK,Workload Config 1-42,text,true,,1182,96,11,11,https://reqres.in/api/users/2,148,0,72
1709043632008,430,POST Register,201,Created,Workload Config 1-34,text,true,,905,204,13,13,https://reqres.in/api/users,430,0,0
1709043632284,185,GET Single User,200,OK,Workload Config 1-43,text,true,,1182,96,12,12,https://reqres.in/api/users/2,185,0,72
1709043632335,134,GET Single User,200,OK,Workload Config 1-44,text,true,,1182,96,12,12,https://reqres.in/api/users/2,134,0,59
1709043632056,451,POST Register,201,Created,Workload Config 1-35,text,true,,897,204,13,13,https://reqres.in/api/users,451,0,0
1709043632081,426,POST Register,201,Created,Workload Config 1-36,text,true,,897,204,13,13,https://reqres.in/api/users,426,0,0
1709043632385,122,GET Single User,200,OK,Workload Config 1-45,text,true,,1182,96,13,13,https://reqres.in/api/users/2,122,0,68
1709043632158,421,POST Register,201,Created,Workload Config 1-37,text,true,,897,204,13,13,https://reqres.in/api/users,421,0,0
1709043632435,166,GET Single User,200,OK,Workload Config 1-46,text,true,,1182,96,12,12,https://reqres.in/api/users/2,166,0,87
1709043632181,432,POST Register,201,Created,Workload Config 1-38,text,true,,897,204,12,12,https://reqres.in/api/users,432,0,0
1709043632472,167,GET Single User,200,OK,Workload Config 1-47,text,true,,1182,96,12,12,https://reqres.in/api/users/2,167,0,86
1709043632521,123,GET Single User,200,OK,Workload Config 1-48,text,true,,1182,96,12,12,https://reqres.in/api/users/2,123,0,85
1709043632572,119,GET Single User,200,OK,Workload Config 1-49,text,true,,1182,96,13,13,https://reqres.in/api/users/2,119,0,72
1709043632278,423,POST Register,201,Created,Workload Config 1-40,text,true,,897,204,13,13,https://reqres.in/api/users,423,0,0
1709043632262,446,POST Register,201,Created,Workload Config 1-39,text,true,,897,204,12,12,https://reqres.in/api/users,446,0,0
1709043632622,141,GET Single User,200,OK,Workload Config 1-50,text,true,,1182,96,12,12,https://reqres.in/api/users/2,141,0,84
1709043632352,465,POST Register,201,Created,Workload Config 1-41,text,true,,897,204,13,13,https://reqres.in/api/users,465,0,0
1709043632384,435,POST Register,201,Created,Workload Config 1-42,text,true,,897,204,12,12,https://reqres.in/api/users,435,0,0
1709043632671,161,GET Single User,200,OK,Workload Config 1-51,text,true,,1182,96,12,12,https://reqres.in/api/users/2,161,0,69
1709043632721,170,GET Single User,200,OK,Workload Config 1-52,text,true,,1182,96,13,13,https://reqres.in/api/users/2,170,0,99
1709043632470,439,POST Register,201,Created,Workload Config 1-44,text,true,,897,204,13,13,https://reqres.in/api/users,439,0,0
1709043632508,432,POST Register,201,Created,Workload Config 1-45,text,true,,897,204,13,13,https://reqres.in/api/users,432,0,0
1709043632470,470,POST Register,201,Created,Workload Config 1-43,text,true,,897,204,13,13,https://reqres.in/api/users,470,0,0
1709043632771,188,GET Single User,200,OK,Workload Config 1-53,text,true,,1182,96,11,11,https://reqres.in/api/users/2,188,0,109
1709043632821,177,GET Single User,200,OK,Workload Config 1-54,text,true,,1182,96,12,12,https://reqres.in/api/users/2,177,0,89
1709043632602,412,POST Register,201,Created,Workload Config 1-46,text,true,,897,204,12,12,https://reqres.in/api/users,412,0,0
1709043632870,163,GET Single User,200,OK,Workload Config 1-55,text,true,,1182,96,12,12,https://reqres.in/api/users/2,162,0,86
1709043632639,418,POST Register,201,Created,Workload Config 1-47,text,true,,897,204,12,12,https://reqres.in/api/users,418,0,0
1709043632920,148,GET Single User,200,OK,Workload Config 1-56,text,true,,1182,96,11,11,https://reqres.in/api/users/2,148,0,67
1709043632644,468,POST Register,201,Created,Workload Config 1-48,text,true,,896,204,12,12,https://reqres.in/api/users,468,0,0
1709043632690,429,POST Register,201,Created,Workload Config 1-49,text,true,,897,204,11,11,https://reqres.in/api/users,429,0,0
1709043632970,165,GET Single User,200,OK,Workload Config 1-57,text,true,,1182,96,11,11,https://reqres.in/api/users/2,165,0,76
1709043633020,154,GET Single User,200,OK,Workload Config 1-58,text,true,,1182,96,12,12,https://reqres.in/api/users/2,154,0,79
1709043633070,126,GET Single User,200,OK,Workload Config 1-59,text,true,,1182,96,12,12,https://reqres.in/api/users/2,126,0,85
1709043632763,437,POST Register,201,Created,Workload Config 1-50,text,true,,897,204,12,12,https://reqres.in/api/users,437,0,0
1709043632833,414,POST Register,201,Created,Workload Config 1-51,text,true,,897,204,12,12,https://reqres.in/api/users,414,0,0
1709043633121,133,GET Single User,200,OK,Workload Config 1-60,text,true,,1182,96,11,11,https://reqres.in/api/users/2,133,0,72
1709043632892,421,POST Register,201,Created,Workload Config 1-52,text,true,,897,204,12,12,https://reqres.in/api/users,421,0,0
1709043633222,116,GET Single User,200,OK,Workload Config 1-62,text,true,,1182,96,12,12,https://reqres.in/api/users/2,116,0,68
1709043633170,184,GET Single User,200,OK,Workload Config 1-61,text,true,,1182,96,12,12,https://reqres.in/api/users/2,184,0,80
1709043632959,424,POST Register,201,Created,Workload Config 1-53,text,true,,897,204,13,13,https://reqres.in/api/users,424,0,0
1709043633272,136,GET Single User,200,OK,Workload Config 1-63,text,true,,1182,96,12,12,https://reqres.in/api/users/2,136,0,63
1709043632999,417,POST Register,201,Created,Workload Config 1-54,text,true,,897,204,12,12,https://reqres.in/api/users,417,0,0
1709043633322,106,GET Single User,200,OK,Workload Config 1-64,text,true,,1182,96,12,12,https://reqres.in/api/users/2,106,0,67
1709043633034,440,POST Register,201,Created,Workload Config 1-55,text,true,,897,204,13,13,https://reqres.in/api/users,440,0,0
1709043633069,420,POST Register,201,Created,Workload Config 1-56,text,true,,893,204,12,12,https://reqres.in/api/users,420,0,0
1709043633372,146,GET Single User,200,OK,Workload Config 1-65,text,true,,1182,96,11,11,https://reqres.in/api/users/2,146,0,69
1709043633422,112,GET Single User,200,OK,Workload Config 1-66,text,true,,1182,96,12,12,https://reqres.in/api/users/2,112,0,64
1709043633136,432,POST Register,201,Created,Workload Config 1-57,text,true,,893,204,12,12,https://reqres.in/api/users,432,0,0
1709043633175,429,POST Register,201,Created,Workload Config 1-58,text,true,,893,204,12,12,https://reqres.in/api/users,429,0,0
1709043633197,433,POST Register,201,Created,Workload Config 1-59,text,true,,893,204,12,12,https://reqres.in/api/users,433,0,0
1709043633472,161,GET Single User,200,OK,Workload Config 1-67,text,true,,1182,96,11,11,https://reqres.in/api/users/2,161,0,74
1709043633254,410,POST Register,201,Created,Workload Config 1-60,text,true,,893,204,11,11,https://reqres.in/api/users,410,0,0
1709043633522,155,GET Single User,200,OK,Workload Config 1-68,text,true,,1182,96,11,11,https://reqres.in/api/users/2,155,0,81
1709043633339,421,POST Register,201,Created,Workload Config 1-62,text,true,,893,204,12,12,https://reqres.in/api/users,421,0,0
1709043633622,137,GET Single User,200,OK,Workload Config 1-70,text,true,,1182,96,12,12,https://reqres.in/api/users/2,137,0,61
